

Run Date,Action,Symbol,Description,Type,Price ($),Quantity,Commission ($),Fees ($),Accrued Interest ($),Amount ($),Cash Balance ($),Settlement Date
01/05/2026,"YOU BOUGHT TTM TECHNOLOGIES INC (TTMI) (Cash)",TTMI,"TTM TECHNOLOGIES INC",Cash,66.93,0.988,,,,-66.12,136.23,01/06/2026
01/02/2026,"YOU BOUGHT VISA INC (V) (Cash)",V,"VISA INC",Cash,346.42,0.288,,,,-99.77,202.35,01/05/2026
01/02/2026,"YOU SOLD VANGUARD WORLD FD INF TECH ETF (VGT) (Cash)",VGT,"VANGUARD WORLD FD INF TECH ETF",Cash,755.09,-0.038,,,,28.69,302.12,01/05/2026
01/02/2026,"YOU SOLD SCHWAB US DIVIDEND EQUITY ETF (SCHD) (Cash)",SCHD,"SCHWAB US DIVIDEND EQUITY ETF",Cash,27.74,-0.625,,,,17.33,273.43,01/05/2026
01/02/2026,"YOU SOLD SCHWAB US DIVIDEND EQUITY ETF (SCHD) (Cash)",SCHD,"SCHWAB US DIVIDEND EQUITY ETF",Cash,27.74,-2,,,,55.48,256.10,01/05/2026



"The data and information in this spreadsheet is provided to you solely for your use and is not for distribution. The spreadsheet is provided for"
"informational purposes only, and is not intended to provide advice, nor should it be construed as an offer to sell, a solicitation of an offer to buy or a"
"recommendation for any security or insurance product by Fidelity or any third party. Data and information shown is based on information known to Fidelity as of the date it was"
"exported and is subject to change. It should not be used in place of your account statements or trade confirmations and is not intended for tax reporting"
"purposes. For more information on the data included in this spreadsheet, including any limitations thereof, go to Fidelity.com."

"Brokerage services are provided by Fidelity Brokerage Services LLC (FBS), 900 Salem Street, Smithfield, RI 02917. Custody and other services provided by National"
"Financial Services LLC (NFS). Both are Fidelity Investment companies and members SIPC, NYSE. Insurance products at Fidelity are distributed by"
"Fidelity Insurance Agency, Inc., and, for certain products, by Fidelity Brokerage Services, Member NYSE, SIPC."

Date downloaded 03/26/2026 4:48 pm
